Episode,Reward,Actor_Loss,Critic_Loss,Duration
0,0.587980929762125,"[-0.033249445259571075, -0.555733323097229, 0.9628567695617676, 0.39809301495552063, 0.46532976627349854, -0.04034769907593727, -0.00832444243133068, 0.07494666427373886, -0.057963233441114426, 0.006873964797705412, -0.5934231877326965, -0.03386488929390907, -0.033721666783094406, -0.031762201339006424, -0.10436379909515381, -0.4087333083152771, -0.235549196600914, -1.7292453050613403, 3.8150336742401123, -1.5637537240982056, 1.4618480205535889, -0.19044022262096405, 0.20727753639221191, -1.8991776704788208, 0.05507699027657509, 0.053268786519765854, 0.1687210649251938, -1.5003738403320312, 0.7918043732643127, 0.01429155096411705, 0.030790187418460846, 0.09085386246442795, 0.1068853810429573, 0.06708818674087524, -0.21583399176597595, 0.0031141266226768494, 0.009291493333876133, 0.011360329575836658, 0.009284515865147114, 0.29926127195358276, 0.31419694423675537, 0.2451440989971161, 0.03231097757816315, 0.032304372638463974, 0.3609048128128052, -0.018349871039390564, -0.022489584982395172, -0.024982700124382973, -0.026892654597759247, -0.03105228953063488, -0.29332008957862854, -0.5338547229766846, -0.010548654943704605, -0.3918406367301941, -0.0010668619070202112, -0.00016810972010716796, -8.703208550286945e-06, 1.0556275810813531e-05, 8.53414530865848e-06, 4.410092969919788e-06, 1.7604249933356186e-06, 6.477403076132759e-07, 7.216465746751055e-06]","[0.0005329735577106476, 0.17654289305210114, 0.7679415345191956, 0.0468992181122303, 0.07621537148952484, 0.005339458584785461, 1.198267000290798e-05, 0.03761804476380348, 0.12088169157505035, 0.0007655248045921326, 0.06391847133636475, 0.020383134484291077, 0.011926944367587566, 0.005340264178812504, 0.028320126235485077, 0.07138561457395554, 0.05358293652534485, 1.3961561918258667, 4.929625034332275, 1.0934123992919922, 1.2596732378005981, 0.018719471991062164, 0.3112797439098358, 1.2444593906402588, 0.5682923197746277, 0.2928496301174164, 1.4307492971420288, 0.7993476986885071, 0.03812225162982941, 0.02825833112001419, 0.033166032284498215, 0.11050600558519363, 0.13127447664737701, 0.06001148000359535, 0.8623614311218262, 0.007803268264979124, 0.014048606157302856, 0.00969765055924654, 0.004610175732523203, 0.011004435829818249, 0.013916018418967724, 0.011553319171071053, 0.00972387008368969, 0.00675614271312952, 0.7156731486320496, 0.003709416603669524, 0.008566966280341148, 0.014443607069551945, 0.019361434504389763, 0.023921998217701912, 0.025507109239697456, 0.023146912455558777, 0.01818748749792576, 0.012168734334409237, 0.00679048104211688, 0.001587376231327653, 3.950230893678963e-05, 0.00051769899437204, 0.002849527634680271, 0.006116859614849091, 0.007545850705355406, 0.007438703905791044, 6.927427768707275]",63
1,0.6701526725664735,"[-0.0006265459232963622, -0.0017911219038069248, -0.0017771192360669374, -0.00011139625712530687, 0.0005327616236172616, 0.0012808118481189013, 0.0015351021429523826, 0.0011152428342029452, 0.0007726952899247408, 0.00038820478948764503, 0.00014023705443833023, 2.7585083444137126e-05, -1.3176061656849924e-05, -3.7322246498661116e-05, -4.797731526196003e-05, -4.9666014092508703e-05, -4.432874629856087e-05, -3.7833378883078694e-05, -3.1108524126466364e-05, -2.4998165827128105e-05, -1.9837063518934883e-05, -1.5460920621990226e-05, -1.2059389518981334e-05, -8.843614523357246e-06, -6.204260898812208e-06, -4.062495463585947e-06, -2.2350536710291635e-06, -6.792826638957195e-07, 5.282757911118097e-07, 1.3486388752426137e-06, 1.8431468333801604e-06, 1.9604187855293276e-06, 1.828259883041028e-06, 1.4058510942049907e-06, 9.329130534752039e-07, 4.287748822662252e-07, -4.1889045121479285e-08, -4.1146475382447534e-07, -6.014827249600785e-07, -6.060460577828053e-07, -5.150702691025799e-07, -3.3589671488698514e-07, -1.5096259176061722e-07, -4.2521128840178335e-09, 1.01884012337905e-07, 1.6654882983857533e-07, 1.5749031945233583e-07, 1.5287146482023672e-07, 1.2611731392553338e-07, 8.553889330187303e-08, 4.548447662955368e-08, 1.0211375744972884e-08, -1.497223145463522e-08, -2.9306356452707405e-08, -3.071970411383518e-08, -2.3255239511854597e-08, -1.0565873509449375e-08, -4.810171816416187e-09, -1.7112297134858068e-09, 3.538931092617048e-10, 1.4643865009489332e-09, 2.046193436910926e-09, 1.8766435072592458e-09, 2.3573680785204942e-09, 3.0945277451621678e-09, 6.456276069322087e-10, -2.787743647036933e-10, -5.832703764419023e-10, -9.371207143615834e-10, -3.267928427863609e-10, -5.323955165614791e-10, 1.4708236018012855e-10, -3.3713880043251265e-07]","[0.032795291393995285, 0.025298984721302986, 0.004117484204471111, 5.292715741234133e-06, 9.097035945160314e-05, 0.0007907406543381512, 0.0023828051052987576, 0.002995830960571766, 0.0035085706040263176, 0.0021504173055291176, 0.0006847698823548853, 6.074678822187707e-05, 2.9714308766415343e-05, 0.0004917867481708527, 0.0016014468856155872, 0.0032221118453890085, 0.004601567517966032, 0.005760459695011377, 0.006486567202955484, 0.006713098380714655, 0.006539557129144669, 0.0059479824267327785, 0.005250338464975357, 0.003992476966232061, 0.002708370564505458, 0.0015664433594793081, 0.0006265465053729713, 7.521700899815187e-05, 5.8373421779833734e-05, 0.00048066783347167075, 0.0011272404808551073, 0.0015854627126827836, 0.0016996150370687246, 0.0012392288772389293, 0.0006692612660117447, 0.00017357972683385015, 2.023830120378989e-06, 0.00023956525546964258, 0.0006269971490837634, 0.000780259259045124, 0.0006940911989659071, 0.00036740838550031185, 9.273851901525632e-05, 9.215258955919126e-08, 6.688887515338138e-05, 0.00022567957057617605, 0.0002595706027932465, 0.00032167465542443097, 0.0002819972578436136, 0.0001765699271345511, 6.59034340060316e-05, 4.585917849908583e-06, 1.364562012895476e-05, 7.186310540419072e-05, 0.0001152896074927412, 9.513939585303888e-05, 2.8855050913989544e-05, 8.933729986893013e-06, 1.7029834680215572e-06, 1.0880241063659923e-07, 3.0796036298852414e-06, 8.184088073903695e-06, 1.2238213457749225e-05, 4.34502144344151e-05, 7.48731181374751e-05, 7.333037501666695e-06, 2.4305404622282367e-06, 2.393974682490807e-05, 6.179748015711084e-05, 7.514927347074263e-06, 1.994566264329478e-05, 1.5223022273858078e-06, 7.998291015625]",73
2,0.12416190840303898,"[7.950389408506453e-05, 0.00011247955990256742, 7.735419785603881e-05, 3.1758700060890988e-06, -1.713996971375309e-05, -7.997940883797128e-06, -2.540711875553825e-06, -3.834639699107356e-07, -1.7338797420052288e-07, -1.1223821871908513e-07, -4.542703280208116e-08, -8.978055632269388e-09, 1.9765145964356634e-08, 1.4224187161460122e-08, 1.2006411864717847e-08, 6.360978410668849e-09, 5.016094632992463e-07]","[0.014973405748605728, 0.0104522705078125, 0.004111287649720907, 1.3339926226763055e-05, 0.0014013241743668914, 0.0015381596749648452, 0.0008534975349903107, 0.0001105020273826085, 0.00012049780343659222, 0.0002546562172938138, 0.00019919553596992046, 3.356270826770924e-05, 0.000763619551435113, 0.0015819474356248975, 0.002535981824621558, 0.0028472626581788063, 17.70561981201172]",17
3,0.32499201223254204,"[-0.00035962637048214674, -0.0008324563386850059, -0.001857519499026239, -0.0007190897013060749, 0.0001359748566756025, 0.00022412650287151337, 0.00015818176325410604, 8.475020877085626e-05, 4.336701749707572e-05, 1.8582763004815206e-05, 5.6753060562186874e-06, 2.9571631330327364e-06, 1.4263882803788874e-06, 6.825341074545577e-07, 3.986932881616667e-07, 2.23969735202445e-07, 1.0409542738898381e-07, 5.1333135075992686e-08, 2.4546892518628738e-08, 1.1769306418329961e-08, 5.539079861449636e-09, 2.3736572707377945e-09, 9.702177949932889e-10, -1.630979934441612e-10, -1.4139801829404774e-10, -4.613696646948995e-10, -9.842581194519084e-10, -1.1833521940118885e-09, -1.2026079021509872e-09, -1.3873916460127589e-09, -1.7063401802630551e-09, -1.8434180848458936e-09, -1.9577302001749786e-09, -2.0523602817235087e-09, -2.085102090987334e-09, -2.3578936581003518e-09, -2.6550793563728803e-07]","[0.009573635645210743, 0.0022475735750049353, 0.002572685247287154, 0.0005964073934592307, 9.494182449998334e-05, 0.0015371313784271479, 0.004483319353312254, 0.006825241260230541, 0.008573388680815697, 0.006921432912349701, 0.0026202592998743057, 0.0026595937088131905, 0.002150812651962042, 0.001603057375177741, 0.0016635110368952155, 0.001532051945105195, 0.0009066624334082007, 0.0005723075591959059, 0.00035041835508309305, 0.00019892306590918452, 0.00013493817823473364, 6.343598215607926e-05, 1.6559917639824562e-05, 1.8718754972724128e-06, 1.4069100870983675e-06, 1.4978825674916152e-05, 6.81706951581873e-05, 9.853891242528334e-05, 0.00010177188960369676, 0.00013544964895118028, 0.00020488536392804235, 0.00023912632605060935, 0.00026970275212079287, 0.0002964059531223029, 0.0003059386508539319, 0.00039122640737332404, 4.960605621337891]",37
4,0.17618578113615513,"[5.6010419939411804e-05, 0.00046731761540286243, 0.0011513268109411001, 0.0012438830453902483, -4.755519967147848e-06, -3.440571526880376e-05, 4.455982434592443e-06, 1.2120399333070964e-06, -5.908551656830241e-07, -4.508172537498467e-07, -1.2981050190319365e-07, 3.6979039830242755e-09, 3.2678421080234443e-10, 1.2992003028955423e-09, 2.1625017332382868e-09, 8.83524475803199e-10, -2.0864734939785023e-10, 1.861622184531897e-12, 3.0303939912990074e-10, 6.346781433741455e-10, 9.532642453180529e-10, 7.112384992069565e-08]","[0.02252510003745556, 0.02010590024292469, 0.0053096916526556015, 0.0018870452186092734, 1.773058500020852e-07, 0.00011746034579118714, 2.5756913601071574e-05, 2.1391659174696542e-05, 4.9282862164545804e-05, 0.0002482823911122978, 0.00016032381972763687, 8.836117331156856e-07, 4.446460977192146e-08, 3.926506906282157e-06, 5.26517178514041e-05, 5.493091885000467e-05, 3.0634121230832534e-06, 2.438724777675816e-10, 6.462163128162501e-06, 2.834567567333579e-05, 6.394495721906424e-05, 0.3559674024581909]",22
5,0.23870415799319744,"[0.01452693436294794, -4.638581594917923e-05, -0.00029337627347558737, -0.0015490454388782382, -0.001983227441087365, -0.0006914076511748135, -0.00012630702985916287, 1.3217056675784988e-06, 2.937829776783474e-06, 1.4762782711841282e-06, 7.595506872348778e-07, 3.410425790661975e-07, 1.2396007775805629e-07, 4.409566045637803e-08, 1.58982160769483e-08, 6.100046245904878e-09, 2.059955983568784e-09, 1.7423611442524134e-09, 1.3889477346040735e-09, 9.869297601383664e-10, 6.638246063950248e-10, 2.532232479257601e-10, -1.0073365752649721e-10, -4.010872189930126e-10, -7.731274509481523e-10, -1.5235033234972661e-09, -1.8267487522649617e-09, -1.611171285276214e-07]","[0.4311547875404358, 0.18161903321743011, 0.06268219649791718, 0.03920689597725868, 0.00945497490465641, 0.004182451404631138, 0.0016566910780966282, 2.1977668893669033e-06, 0.00011835301847895607, 0.00028308870969340205, 0.0006342189153656363, 0.0010217537637799978, 0.000935371033847332, 0.0008096253732219338, 0.0005879642558284104, 0.0004189535102341324, 0.00029860399081371725, 0.0002136269467882812, 0.0001357536530122161, 6.854127423139289e-05, 3.100890535279177e-05, 4.512184659688501e-06, 7.140504294511629e-07, 1.1320284102112055e-05, 4.206121957395226e-05, 0.00016333020175807178, 0.00023482121468987316, 1.8266828060150146]",28
6,0.2574859745800495,"[4.261533103999682e-05, 1.1747223652491812e-05, -1.5996316506061703e-05, -1.5999539755284786e-05, -9.592784408596344e-06, -1.5897293224043096e-06, 6.921960107320047e-07, 8.728525813239685e-08, -3.995872432938086e-08, -5.368617195244951e-08, -5.9499353000092015e-08, -3.091044931124998e-08, -1.7176628119841553e-08, -6.191880341788192e-09, -2.4048507629714777e-09, 1.7727336265593863e-09, 3.931021286263103e-09, 2.7987430151199533e-09, 1.5625547522546412e-09, 1.484309786192739e-09, 1.3836399803679456e-09, 9.677664225549165e-10, 7.943087299011609e-10, -5.442402639666e-10, -6.067609192861312e-10, -8.387460725955975e-10, -8.436914500364878e-10, -7.234249865817333e-10, -1.0962396546077002e-09, 1.3164249423880392e-07]","[0.0012074413243681192, 3.432668745517731e-05, 8.114067168207839e-05, 0.00018307424033991992, 0.00022163534595165402, 2.54889928328339e-05, 2.2501513740280643e-05, 1.6270768128379132e-06, 1.4178543779053143e-06, 9.918025170918554e-06, 4.3702515540644526e-05, 3.999637556262314e-05, 3.9246297092176974e-05, 1.5963845726219006e-05, 7.234909844555659e-06, 8.845583579386584e-06, 0.00012082254397682846, 0.0001377988955937326, 0.00017181067960336804, 0.0001550346496514976, 0.00013471809506881982, 6.590536941075698e-05, 4.4397482270142063e-05, 2.0843039237661287e-05, 2.590686926851049e-05, 4.9504044000059366e-05, 5.008953303331509e-05, 3.6827026633545756e-05, 8.456501382170245e-05, 1.2194721698760986]",30
7,0.03806941770017147,"[0.0001423465582774952, 5.770805000793189e-05, -8.350227290065959e-05, -4.259918205207214e-05, -6.628302344324766e-06, -9.87296743915067e-07, -1.107349874018837e-07, 1.5347244470831356e-06]","[0.001324967946857214, 9.938622679328546e-05, 0.0007670204504393041, 0.0025619850493967533, 0.0009075294947251678, 0.0002827725256793201, 4.498241833061911e-05, 0.09623704105615616]",8
8,0.8603305239230394,"[0.0002568781783338636, 0.00016470438276883215, 9.436261461814865e-05, 6.070779272704385e-05, 4.7277215344365686e-05, 3.746439324459061e-05, 3.078694498981349e-05, 2.4365690478589386e-05, 1.5401499695144594e-05, 1.2036090083711315e-05, 7.306563020392787e-06, 5.812719336972805e-06, 4.350693870946998e-06, 3.978955191996647e-06, 3.7451525258802576e-06, 4.402159902383573e-06, 4.047939000884071e-06, 3.5639411635202123e-06, 3.130549430352403e-06, 2.767935256997589e-06, 2.286623839609092e-06, 2.264423073938815e-06, 1.2939805174028152e-06, 7.98302224325198e-08, -9.85236511041876e-07, -1.8757718862616457e-06, -2.1983662463753717e-06, -1.9784154119406594e-06, -1.4523272966471268e-06, -8.716073693904036e-07, -1.2596022713751154e-07, 3.8928249068703735e-07, 1.1507393082865747e-06, 1.727992412270396e-06, 2.0177139958832413e-06, 2.3092459286999656e-06, 2.399865252300515e-06, 2.322706450286205e-06, 1.899983431030705e-06, 1.2189975677756593e-06, 4.395992334593757e-07, -7.498130116800894e-07, -2.4719565772102214e-06, -3.758528009711881e-06, -3.965391897509107e-06, -3.182979071425507e-06, -1.8023399661615258e-06, 3.1201827255245007e-07, 2.079842488456052e-06, 3.1263575692719314e-06, 4.076965524291154e-06, 4.45858722741832e-06, 4.184821136732353e-06, 3.2726347853895277e-06, 1.8355848396822694e-06, -4.044063075525628e-07, -2.7152796064910945e-06, -3.924086740880739e-06, -4.2332749217166565e-06, -3.5939051485911477e-06, -2.2348858692566864e-06, -4.604753200965206e-07, 1.4426991583604831e-06, 3.2491736874362687e-06, 4.247236574883573e-06, 4.237067059875699e-06, 3.238975068597938e-06, 1.5147437579798861e-06, -5.433889782580081e-07, -2.2978763354331022e-06, -3.096461796303629e-06, -2.7804082947113784e-06, -1.7089771517930785e-06, -2.271782477691886e-07, 1.043755901264376e-06, 2.140865944966208e-06, 2.7138264613313368e-06, 2.039452738245018e-06, 5.601555130851921e-07, -5.792151682726399e-07, -1.5835083786441828e-06, -1.8952036953123752e-06, -8.225159717767383e-07, 6.3086758927966e-07, 8.105657798296306e-07, 2.593968417841097e-07, -8.779353066756812e-08, -6.969130481593311e-07, -4.0443012494506547e-07, -4.3059888099605814e-08, 2.5647926804595045e-07, 2.787865014397539e-07, 2.5393072178303555e-07, 8.14848206687202e-08, -2.197509552104293e-08, -8.682451152708381e-06]","[0.001328157028183341, 0.0009619917836971581, 0.000588992319535464, 0.00044499055366031826, 0.00047030404675751925, 0.000512820144649595, 0.0005940370610915124, 0.0006067078793421388, 0.00039283139631152153, 0.0003725285059772432, 0.0002056453813565895, 0.00018694461323320866, 0.00014478986850008368, 0.00016212429909501225, 0.00018555849965196103, 0.00032111420296132565, 0.0003308987361378968, 0.0003025887708645314, 0.0002686661609914154, 0.00023562567366752774, 0.0001764250046107918, 0.00018645270029082894, 6.435313116526231e-05, 2.5424336058677e-07, 3.9615337300347164e-05, 0.0001449175615562126, 0.00019844164489768445, 0.00015781224647071213, 8.240135503001511e-05, 2.847800169547554e-05, 5.658880581904668e-07, 5.10268228026689e-06, 4.182420525467023e-05, 8.783821976976469e-05, 0.00011105157318525016, 0.00013412241241894662, 0.00013299135025590658, 0.00011377177725080401, 6.92175017320551e-05, 2.6385059754829854e-05, 3.1743559247843223e-06, 8.505016012350097e-06, 8.49518837640062e-05, 0.00018033606465905905, 0.00018391069897916168, 0.00010845458746189252, 3.1626819691155106e-05, 8.611833095528709e-07, 3.480045415926725e-05, 7.163641566876322e-05, 0.00011332780559314415, 0.00012720513041131198, 0.00010615499195409939, 6.26198307145387e-05, 1.900323150039185e-05, 8.893429139789077e-07, 3.943172487197444e-05, 8.059020183281973e-05, 9.103759657591581e-05, 6.417489930754527e-05, 2.4144474082277156e-05, 9.906680134008639e-07, 9.413767656951677e-06, 4.636222729459405e-05, 7.742872548988089e-05, 7.622737030033022e-05, 4.58879439975135e-05, 1.0459521035954822e-05, 1.4280929008236853e-06, 2.7417567252996378e-05, 5.281273115542717e-05, 4.510843427851796e-05, 1.7913265764946118e-05, 3.312491116957972e-07, 7.460289452865254e-06, 3.4052143746521324e-05, 6.014170139678754e-05, 3.7873007386224344e-05, 3.2955997539829696e-06, 4.1701109694258776e-06, 3.717000436154194e-05, 6.339421088341624e-05, 1.4243654732126743e-05, 1.0341304005123675e-05, 2.140627293556463e-05, 2.842669118763297e-06, 4.3387373693803966e-07, 3.6735211324412376e-05, 1.703258567431476e-05, 2.8634073601097043e-07, 1.5873358279350214e-05, 3.0637122108601034e-05, 4.3355579691706225e-05, 8.04427054390544e-06, 1.1095737590949284e-06, 0.33679884672164917]",96
9,0.315167386084795,"[0.001369438716210425, 0.0006785759469494224, 0.0001967902499018237, 5.5470165534643456e-05, 1.6173244148376398e-05, 4.387775334180333e-06, 1.4671639974039863e-06, 6.159260124150023e-07, 2.6787085971591296e-07, 1.2039753016779287e-07, 5.5294172796038765e-08, 3.140302595738831e-08, 1.4960125582774708e-08, 9.302022263568688e-09, 3.360171252353439e-09, 3.4018801109425567e-09, 3.4825196060239705e-09, 3.611710486239872e-09, 3.6518206236735296e-09, 3.6775493761354028e-09, 3.6861469432381e-09, 3.675055371132885e-09, 3.608022769441277e-09, 3.2760358870120854e-09, 3.039446472286045e-09, 2.9589988237432863e-09, 2.55263921111748e-09, 2.3893138578756634e-09, 2.274817001435281e-09, 2.0138950507231357e-09, 1.9909836002085513e-09, 1.760098067293825e-09, 1.4334189391007612e-09, 8.926700489908512e-10, 8.185915278957623e-10, -5.2900151814583296e-08]","[0.007209850940853357, 0.0043688081204891205, 0.0019063660874962807, 0.001088100834749639, 0.0006736708455719054, 0.00034531569690443575, 0.0002554558159317821, 0.00028139702044427395, 0.00031305220909416676, 0.0003498038277029991, 0.000373520830180496, 0.0005735044833272696, 0.000629955786280334, 0.0006765375146642327, 0.0007945157703943551, 0.0008143623708747327, 0.0008534278604201972, 0.0009179215412586927, 0.0009384228615090251, 0.000951692636590451, 0.0009561476763337851, 0.0009504022891633213, 0.000916048011276871, 0.0007552260649390519, 0.0006500827730633318, 0.0006161255878396332, 0.0004585203423630446, 0.0004017224709969014, 0.0003641435760073364, 0.0002853996120393276, 0.0002789427526295185, 0.00021799845853820443, 0.00014458589430432767, 5.607401180895977e-05, 4.7153527702903375e-05, 0.1969216763973236]",36
